CustId,Rating,Date,MovieId,Release_Year,Movie_Title,Genre
1488844,3,9/6/05,1,2003,Dinosaur Planet   ,Sci-Fi
1488844,4,9/5/05,2,2004,Isle of Man TT 2004 Review   ,Other
1488844,4,3/29/03,3,1997,Character   ,Other
1488844,3,9/6/05,4,1994,Paula Abdul's Get Up & Dance   ,Other
1488844,5,2/8/05,5,2004,The Rise and Fall of ECW   ,Other
1488844,1,5/28/04,6,1997,Sick   ,Other
1488844,3,12/14/03,7,1992,8 Man   ,Other
1488844,2,7/1/05,8,2004,What the #$*! Do We Know!?   ,Other
1488844,4,11/16/04,9,1991,Class of Nuke 'Em High 2   ,Other
1488844,3,8/8/03,10,2001,Fighter   ,Other
1488844,2,6/7/04,11,1999,Full Frame: Documentary Shorts   ,Other
1488844,1,5/13/02,12,1947,My Favorite Brunette   ,Other
